Using MPS device for macOS
Using device: mps
Episode 107/3000 | Total reward: 0.00 | Avg loss: 6148.2139 | Epsilon: 0.585 | LOSE | MEMORY_SIZE: 257SEED: 597
Episode 108/3000 | Total reward: 4.00 | Avg loss: 3868.2943 | Epsilon: 0.582 | LOSE | MEMORY_SIZE: 264SEED: 597
Episode 109/3000 | Total reward: -1.00 | Avg loss: 2511.2179 | Epsilon: 0.579 | LOSE | MEMORY_SIZE: 266SEED: 597
Episode 110/3000 | Total reward: 14.00 | Avg loss: 2468.2578 | Epsilon: 0.576 | LOSE | MEMORY_SIZE: 293SEED: 597
Episode 111/3000 | Total reward: 0.00 | Avg loss: 1729.6309 | Epsilon: 0.573 | LOSE | MEMORY_SIZE: 294SEED: 597
Episode 112/3000 | Total reward: -1.00 | Avg loss: 7930.8884 | Epsilon: 0.570 | LOSE | MEMORY_SIZE: 296SEED: 597
Episode 113/3000 | Total reward: 16.00 | Avg loss: 7288.4309 | Epsilon: 0.568 | LOSE | MEMORY_SIZE: 301SEED: 597
Episode 114/3000 | Total reward: 0.00 | Avg loss: 7539.5811 | Epsilon: 0.565 | LOSE | MEMORY_SIZE: 302SEED: 597
Episode 115/3000 | Total reward: 15.00 | Avg loss: 2917.3814 | Epsilon: 0.562 | LOSE | MEMORY_SIZE: 308SEED: 597
Episode 116/3000 | Total reward: 0.00 | Avg loss: 3228.1057 | Epsilon: 0.559 | LOSE | MEMORY_SIZE: 309SEED: 597
Episode 117/3000 | Total reward: 0.00 | Avg loss: 2078.8999 | Epsilon: 0.556 | LOSE | MEMORY_SIZE: 310SEED: 597
Episode 118/3000 | Total reward: 8.00 | Avg loss: 1394.6707 | Epsilon: 0.554 | LOSE | MEMORY_SIZE: 313SEED: 597
Episode 119/3000 | Total reward: 8.00 | Avg loss: 2231.0665 | Epsilon: 0.551 | LOSE | MEMORY_SIZE: 316SEED: 597
Episode 120/3000 | Total reward: 0.00 | Avg loss: 1531.4554 | Epsilon: 0.548 | LOSE | MEMORY_SIZE: 317SEED: 597
Episode 121/3000 | Total reward: -1.00 | Avg loss: 1597.2048 | Epsilon: 0.545 | LOSE | MEMORY_SIZE: 319SEED: 597
Episode 122/3000 | Total reward: 0.00 | Avg loss: 1245.4976 | Epsilon: 0.543 | LOSE | MEMORY_SIZE: 320SEED: 597
Episode 123/3000 | Total reward: 0.00 | Avg loss: 1667.1846 | Epsilon: 0.540 | LOSE | MEMORY_SIZE: 321SEED: 597
Episode 124/3000 | Total reward: -1.00 | Avg loss: 1791.6565 | Epsilon: 0.537 | LOSE | MEMORY_SIZE: 323SEED: 597
Episode 125/3000 | Total reward: -1.00 | Avg loss: 2292.0507 | Epsilon: 0.534 | LOSE | MEMORY_SIZE: 325SEED: 597
Episode 126/3000 | Total reward: 0.00 | Avg loss: 1054.6357 | Epsilon: 0.532 | LOSE | MEMORY_SIZE: 326SEED: 597
Episode 127/3000 | Total reward: -2.00 | Avg loss: 1795.1333 | Epsilon: 0.529 | LOSE | MEMORY_SIZE: 329SEED: 597
Episode 128/3000 | Total reward: 0.00 | Avg loss: 2583.3608 | Epsilon: 0.526 | LOSE | MEMORY_SIZE: 330SEED: 597
Episode 129/3000 | Total reward: 18.00 | Avg loss: 2422.9213 | Epsilon: 0.524 | LOSE | MEMORY_SIZE: 333SEED: 597
Episode 130/3000 | Total reward: -4.00 | Avg loss: 2141.1269 | Epsilon: 0.521 | LOSE | MEMORY_SIZE: 338SEED: 597
Episode 131/3000 | Total reward: 0.00 | Avg loss: 1662.1692 | Epsilon: 0.519 | LOSE | MEMORY_SIZE: 339SEED: 597
Episode 132/3000 | Total reward: -2.00 | Avg loss: 4207.1598 | Epsilon: 0.516 | LOSE | MEMORY_SIZE: 342SEED: 597
Episode 133/3000 | Total reward: 0.00 | Avg loss: 2830.4514 | Epsilon: 0.513 | LOSE | MEMORY_SIZE: 343SEED: 597
Episode 134/3000 | Total reward: -5.00 | Avg loss: 3619.9859 | Epsilon: 0.511 | LOSE | MEMORY_SIZE: 349SEED: 597
Episode 135/3000 | Total reward: 9.00 | Avg loss: 1961.4027 | Epsilon: 0.508 | LOSE | MEMORY_SIZE: 361SEED: 597
Episode 136/3000 | Total reward: -2.00 | Avg loss: 1058.8618 | Epsilon: 0.506 | LOSE | MEMORY_SIZE: 364SEED: 597
Episode 137/3000 | Total reward: -2.00 | Avg loss: 1093.1737 | Epsilon: 0.503 | LOSE | MEMORY_SIZE: 367SEED: 597
Episode 138/3000 | Total reward: 4.00 | Avg loss: 1044.6468 | Epsilon: 0.501 | LOSE | MEMORY_SIZE: 374SEED: 597
Episode 139/3000 | Total reward: -2.00 | Avg loss: 1512.0686 | Epsilon: 0.498 | LOSE | MEMORY_SIZE: 377SEED: 597
Episode 140/3000 | Total reward: 18.00 | Avg loss: 872.0409 | Epsilon: 0.496 | LOSE | MEMORY_SIZE: 390SEED: 597
Episode 141/3000 | Total reward: -1.00 | Avg loss: 676.8107 | Epsilon: 0.493 | LOSE | MEMORY_SIZE: 392SEED: 597
Episode 142/3000 | Total reward: 11.00 | Avg loss: 1836.5022 | Epsilon: 0.491 | LOSE | MEMORY_SIZE: 402SEED: 597
Episode 143/3000 | Total reward: 0.00 | Avg loss: 1484.6678 | Epsilon: 0.488 | LOSE | MEMORY_SIZE: 403SEED: 597
Episode 144/3000 | Total reward: 4.00 | Avg loss: 933.0260 | Epsilon: 0.486 | LOSE | MEMORY_SIZE: 420SEED: 597
Episode 145/3000 | Total reward: -1.00 | Avg loss: 885.2136 | Epsilon: 0.483 | LOSE | MEMORY_SIZE: 422SEED: 597
Episode 146/3000 | Total reward: 0.00 | Avg loss: 657.9933 | Epsilon: 0.481 | LOSE | MEMORY_SIZE: 423SEED: 597
Episode 147/3000 | Total reward: 0.00 | Avg loss: 680.2786 | Epsilon: 0.479 | LOSE | MEMORY_SIZE: 424SEED: 597
Episode 148/3000 | Total reward: 0.00 | Avg loss: 518.9913 | Epsilon: 0.476 | LOSE | MEMORY_SIZE: 425SEED: 597
Episode 149/3000 | Total reward: 5.00 | Avg loss: 702.6432 | Epsilon: 0.474 | LOSE | MEMORY_SIZE: 431SEED: 597
Episode 150/3000 | Total reward: 6.00 | Avg loss: 709.4219 | Epsilon: 0.471 | LOSE | MEMORY_SIZE: 436SEED: 597
Episode 151/3000 | Total reward: 4.00 | Avg loss: 536.0988 | Epsilon: 0.469 | LOSE | MEMORY_SIZE: 443SEED: 597
Episode 152/3000 | Total reward: 7.00 | Avg loss: 1395.9863 | Epsilon: 0.467 | LOSE | MEMORY_SIZE: 447SEED: 597
Episode 153/3000 | Total reward: -7.00 | Avg loss: 1056.3421 | Epsilon: 0.464 | LOSE | MEMORY_SIZE: 455SEED: 597
Episode 154/3000 | Total reward: -1.00 | Avg loss: 1139.0838 | Epsilon: 0.462 | LOSE | MEMORY_SIZE: 457SEED: 597
Episode 155/3000 | Total reward: 4.00 | Avg loss: 868.1436 | Epsilon: 0.460 | LOSE | MEMORY_SIZE: 464SEED: 597
Episode 156/3000 | Total reward: 69.00 | Avg loss: 839.6487 | Epsilon: 0.458 | LOSE | MEMORY_SIZE: 476SEED: 597
Episode 157/3000 | Total reward: 0.00 | Avg loss: 781.4056 | Epsilon: 0.455 | LOSE | MEMORY_SIZE: 477SEED: 597
Episode 158/3000 | Total reward: 0.00 | Avg loss: 850.0345 | Epsilon: 0.453 | LOSE | MEMORY_SIZE: 478SEED: 597
Episode 159/3000 | Total reward: 0.00 | Avg loss: 186.7698 | Epsilon: 0.451 | LOSE | MEMORY_SIZE: 479SEED: 597
Episode 160/3000 | Total reward: 8.00 | Avg loss: 726.3376 | Epsilon: 0.448 | LOSE | MEMORY_SIZE: 482SEED: 597
Episode 161/3000 | Total reward: 0.00 | Avg loss: 622.3411 | Epsilon: 0.446 | LOSE | MEMORY_SIZE: 483SEED: 597
Episode 162/3000 | Total reward: 23.00 | Avg loss: 5480.4172 | Epsilon: 0.444 | LOSE | MEMORY_SIZE: 491SEED: 597
Episode 163/3000 | Total reward: 9.00 | Avg loss: 4580.3521 | Epsilon: 0.442 | LOSE | MEMORY_SIZE: 493SEED: 597
Episode 164/3000 | Total reward: 9.00 | Avg loss: 4123.6934 | Epsilon: 0.440 | LOSE | MEMORY_SIZE: 495SEED: 597
Episode 165/3000 | Total reward: 14.00 | Avg loss: 3014.9246 | Epsilon: 0.437 | LOSE | MEMORY_SIZE: 502SEED: 597
Episode 166/3000 | Total reward: 51.00 | Avg loss: 2007.0188 | Epsilon: 0.435 | LOSE | MEMORY_SIZE: 512SEED: 597
Episode 167/3000 | Total reward: 0.00 | Avg loss: 1583.8206 | Epsilon: 0.433 | LOSE | MEMORY_SIZE: 513SEED: 597
Episode 168/3000 | Total reward: 0.00 | Avg loss: 1324.4569 | Epsilon: 0.431 | LOSE | MEMORY_SIZE: 514SEED: 597
Episode 169/3000 | Total reward: 34.00 | Avg loss: 1230.4450 | Epsilon: 0.429 | LOSE | MEMORY_SIZE: 521SEED: 597
Episode 170/3000 | Total reward: 0.00 | Avg loss: 1195.5764 | Epsilon: 0.427 | LOSE | MEMORY_SIZE: 522SEED: 597
Episode 171/3000 | Total reward: 9.00 | Avg loss: 1034.7084 | Epsilon: 0.424 | LOSE | MEMORY_SIZE: 524SEED: 597
Episode 172/3000 | Total reward: 9.00 | Avg loss: 2356.8257 | Epsilon: 0.422 | LOSE | MEMORY_SIZE: 526SEED: 597
Episode 173/3000 | Total reward: 18.00 | Avg loss: 1816.5979 | Epsilon: 0.420 | LOSE | MEMORY_SIZE: 529SEED: 597
Episode 174/3000 | Total reward: 17.00 | Avg loss: 1736.1349 | Epsilon: 0.418 | LOSE | MEMORY_SIZE: 533SEED: 597
Episode 175/3000 | Total reward: 21.00 | Avg loss: 1020.8929 | Epsilon: 0.416 | LOSE | MEMORY_SIZE: 543SEED: 597
Episode 176/3000 | Total reward: 9.00 | Avg loss: 927.5755 | Epsilon: 0.414 | LOSE | MEMORY_SIZE: 545SEED: 597
Episode 177/3000 | Total reward: 7.00 | Avg loss: 822.6248 | Epsilon: 0.412 | LOSE | MEMORY_SIZE: 549SEED: 597
Episode 178/3000 | Total reward: 26.00 | Avg loss: 797.7945 | Epsilon: 0.410 | LOSE | MEMORY_SIZE: 554SEED: 597
Episode 179/3000 | Total reward: 43.00 | Avg loss: 740.5204 | Epsilon: 0.408 | LOSE | MEMORY_SIZE: 572SEED: 597
Episode 180/3000 | Total reward: 14.00 | Avg loss: 670.9308 | Epsilon: 0.406 | LOSE | MEMORY_SIZE: 589SEED: 597
Episode 181/3000 | Total reward: 27.00 | Avg loss: 829.2921 | Epsilon: 0.404 | LOSE | MEMORY_SIZE: 593SEED: 597
Episode 182/3000 | Total reward: 22.00 | Avg loss: 1659.8981 | Epsilon: 0.402 | LOSE | MEMORY_SIZE: 602SEED: 597
Episode 183/3000 | Total reward: 34.00 | Avg loss: 1381.9203 | Epsilon: 0.400 | LOSE | MEMORY_SIZE: 609SEED: 597
Episode 184/3000 | Total reward: 52.00 | Avg loss: 1255.5906 | Epsilon: 0.398 | LOSE | MEMORY_SIZE: 628SEED: 597
Episode 185/3000 | Total reward: 16.00 | Avg loss: 1395.2157 | Epsilon: 0.396 | LOSE | MEMORY_SIZE: 633SEED: 597
Episode 186/3000 | Total reward: 0.00 | Avg loss: 1657.0573 | Epsilon: 0.394 | LOSE | MEMORY_SIZE: 634SEED: 597
Episode 187/3000 | Total reward: 0.00 | Avg loss: 1790.9551 | Epsilon: 0.392 | LOSE | MEMORY_SIZE: 635SEED: 597
Episode 188/3000 | Total reward: 27.00 | Avg loss: 1324.6157 | Epsilon: 0.390 | LOSE | MEMORY_SIZE: 639SEED: 597
