Using device: cpu
Episode 40/10000 | Total reward: 0.00 | Avg loss: 2.3258 | Loss std: 0.0000 | Max Q: 2.05 | Min Q: -0.65 | Mean Q: 0.56 | Epsilon: 0.818 | LOSE | Len: 1 | MEMORY_SIZE: 85SEED: 597
Episode 41/10000 | Total reward: 0.00 | Avg loss: 2.0162 | Loss std: 0.0000 | Max Q: 2.61 | Min Q: -0.70 | Mean Q: 0.67 | Epsilon: 0.814 | LOSE | Len: 1 | MEMORY_SIZE: 86SEED: 597
Episode 42/10000 | Total reward: 9.00 | Avg loss: 6.0886 | Loss std: 0.0289 | Max Q: 2.96 | Min Q: -0.70 | Mean Q: 0.96 | Epsilon: 0.810 | LOSE | Len: 2 | MEMORY_SIZE: 88SEED: 597
Episode 43/10000 | Total reward: -1.00 | Avg loss: 4.6224 | Loss std: 0.9805 | Max Q: 2.83 | Min Q: -0.51 | Mean Q: 0.92 | Epsilon: 0.806 | LOSE | Len: 2 | MEMORY_SIZE: 90SEED: 597
Episode 44/10000 | Total reward: 0.00 | Avg loss: 3.8692 | Loss std: 0.0000 | Max Q: 3.00 | Min Q: -0.23 | Mean Q: 1.07 | Epsilon: 0.802 | LOSE | Len: 1 | MEMORY_SIZE: 91SEED: 597
Episode 45/10000 | Total reward: 8.00 | Avg loss: 2.6250 | Loss std: 0.3853 | Max Q: 4.76 | Min Q: -0.03 | Mean Q: 1.89 | Epsilon: 0.798 | LOSE | Len: 3 | MEMORY_SIZE: 94SEED: 597
Episode 46/10000 | Total reward: 0.00 | Avg loss: 2.6579 | Loss std: 0.0000 | Max Q: 4.06 | Min Q: 0.28 | Mean Q: 1.51 | Epsilon: 0.794 | LOSE | Len: 1 | MEMORY_SIZE: 95SEED: 597
Episode 47/10000 | Total reward: 0.00 | Avg loss: 2.4186 | Loss std: 0.0000 | Max Q: 4.13 | Min Q: 0.23 | Mean Q: 1.57 | Epsilon: 0.790 | LOSE | Len: 1 | MEMORY_SIZE: 96SEED: 597
Episode 48/10000 | Total reward: 16.00 | Avg loss: 2.8362 | Loss std: 0.9084 | Max Q: 7.20 | Min Q: 0.20 | Mean Q: 2.28 | Epsilon: 0.786 | LOSE | Len: 5 | MEMORY_SIZE: 101SEED: 597
Episode 49/10000 | Total reward: 8.00 | Avg loss: 2.8127 | Loss std: 0.1998 | Max Q: 8.95 | Min Q: 0.02 | Mean Q: 2.64 | Epsilon: 0.782 | LOSE | Len: 3 | MEMORY_SIZE: 104SEED: 597
Episode 50/10000 | Total reward: 18.00 | Avg loss: 2.0673 | Loss std: 0.4249 | Max Q: 11.64 | Min Q: -0.21 | Mean Q: 2.82 | Epsilon: 0.778 | LOSE | Len: 3 | MEMORY_SIZE: 107SEED: 597
Episode 51/10000 | Total reward: 9.00 | Avg loss: 2.3377 | Loss std: 0.6362 | Max Q: 8.81 | Min Q: -0.21 | Mean Q: 2.28 | Epsilon: 0.774 | LOSE | Len: 2 | MEMORY_SIZE: 109SEED: 597
Episode 52/10000 | Total reward: 18.00 | Avg loss: 13.1423 | Loss std: 3.5883 | Max Q: 8.37 | Min Q: -0.16 | Mean Q: 2.56 | Epsilon: 0.771 | LOSE | Len: 3 | MEMORY_SIZE: 112SEED: 597
Episode 53/10000 | Total reward: 9.00 | Avg loss: 9.6560 | Loss std: 0.8376 | Max Q: 6.36 | Min Q: 0.02 | Mean Q: 2.56 | Epsilon: 0.767 | LOSE | Len: 2 | MEMORY_SIZE: 114SEED: 597
Episode 54/10000 | Total reward: 7.00 | Avg loss: 5.0041 | Loss std: 1.8692 | Max Q: 9.53 | Min Q: -0.00 | Mean Q: 3.33 | Epsilon: 0.763 | LOSE | Len: 4 | MEMORY_SIZE: 118SEED: 597
Episode 55/10000 | Total reward: 24.00 | Avg loss: 6.4659 | Loss std: 2.3886 | Max Q: 19.45 | Min Q: -0.22 | Mean Q: 6.45 | Epsilon: 0.759 | LOSE | Len: 7 | MEMORY_SIZE: 125SEED: 597
Episode 56/10000 | Total reward: 0.00 | Avg loss: 5.9119 | Loss std: 0.0000 | Max Q: 4.99 | Min Q: 0.21 | Mean Q: 3.68 | Epsilon: 0.755 | LOSE | Len: 1 | MEMORY_SIZE: 126SEED: 597
Episode 57/10000 | Total reward: 0.00 | Avg loss: 4.0395 | Loss std: 0.0000 | Max Q: 5.50 | Min Q: 0.22 | Mean Q: 3.74 | Epsilon: 0.751 | LOSE | Len: 1 | MEMORY_SIZE: 127SEED: 597
Episode 58/10000 | Total reward: 9.00 | Avg loss: 8.7946 | Loss std: 1.9448 | Max Q: 13.93 | Min Q: 0.19 | Mean Q: 5.22 | Epsilon: 0.748 | LOSE | Len: 2 | MEMORY_SIZE: 129SEED: 597
Episode 59/10000 | Total reward: 17.00 | Avg loss: 3.9633 | Loss std: 1.0348 | Max Q: 16.11 | Min Q: -0.32 | Mean Q: 5.26 | Epsilon: 0.744 | LOSE | Len: 4 | MEMORY_SIZE: 133SEED: 597
Episode 60/10000 | Total reward: 16.00 | Avg loss: 4.3020 | Loss std: 1.3503 | Max Q: 17.12 | Min Q: -0.37 | Mean Q: 5.41 | Epsilon: 0.740 | LOSE | Len: 5 | MEMORY_SIZE: 138SEED: 597
Episode 61/10000 | Total reward: 9.00 | Avg loss: 3.4904 | Loss std: 0.7395 | Max Q: 13.83 | Min Q: -1.36 | Mean Q: 4.86 | Epsilon: 0.737 | LOSE | Len: 2 | MEMORY_SIZE: 140SEED: 597
Episode 62/10000 | Total reward: 0.00 | Avg loss: 15.7240 | Loss std: 0.0000 | Max Q: 8.19 | Min Q: -0.66 | Mean Q: 4.30 | Epsilon: 0.733 | LOSE | Len: 1 | MEMORY_SIZE: 141SEED: 597
Episode 63/10000 | Total reward: 0.00 | Avg loss: 11.9612 | Loss std: 0.0000 | Max Q: 8.81 | Min Q: -0.67 | Mean Q: 4.59 | Epsilon: 0.729 | LOSE | Len: 1 | MEMORY_SIZE: 142SEED: 597
Episode 64/10000 | Total reward: 7.00 | Avg loss: 6.8905 | Loss std: 3.4765 | Max Q: 18.11 | Min Q: -0.62 | Mean Q: 6.63 | Epsilon: 0.726 | LOSE | Len: 4 | MEMORY_SIZE: 146SEED: 597
Episode 65/10000 | Total reward: 0.00 | Avg loss: 5.5918 | Loss std: 0.0000 | Max Q: 11.71 | Min Q: -0.09 | Mean Q: 6.61 | Epsilon: 0.722 | LOSE | Len: 1 | MEMORY_SIZE: 147SEED: 597
Episode 66/10000 | Total reward: 9.00 | Avg loss: 8.1681 | Loss std: 3.8125 | Max Q: 18.99 | Min Q: -0.55 | Mean Q: 7.89 | Epsilon: 0.718 | LOSE | Len: 2 | MEMORY_SIZE: 149SEED: 597
Episode 67/10000 | Total reward: 0.00 | Avg loss: 5.0926 | Loss std: 0.0000 | Max Q: 11.29 | Min Q: -0.47 | Mean Q: 6.45 | Epsilon: 0.715 | LOSE | Len: 1 | MEMORY_SIZE: 150SEED: 597
Episode 68/10000 | Total reward: -1.00 | Avg loss: 5.3506 | Loss std: 0.0029 | Max Q: 11.38 | Min Q: -0.50 | Mean Q: 6.07 | Epsilon: 0.711 | LOSE | Len: 2 | MEMORY_SIZE: 152SEED: 597
Episode 69/10000 | Total reward: 9.00 | Avg loss: 4.0798 | Loss std: 1.0329 | Max Q: 10.98 | Min Q: -0.38 | Mean Q: 5.02 | Epsilon: 0.708 | LOSE | Len: 2 | MEMORY_SIZE: 154SEED: 597
Episode 70/10000 | Total reward: 0.00 | Avg loss: 4.8553 | Loss std: 0.0000 | Max Q: 11.06 | Min Q: -0.17 | Mean Q: 5.13 | Epsilon: 0.704 | LOSE | Len: 1 | MEMORY_SIZE: 155SEED: 597
Episode 71/10000 | Total reward: 0.00 | Avg loss: 9.3621 | Loss std: 0.0000 | Max Q: 10.70 | Min Q: -0.11 | Mean Q: 4.83 | Epsilon: 0.701 | LOSE | Len: 1 | MEMORY_SIZE: 156SEED: 597
Episode 72/10000 | Total reward: 0.00 | Avg loss: 7.6811 | Loss std: 0.0000 | Max Q: 10.15 | Min Q: -0.08 | Mean Q: 4.53 | Epsilon: 0.697 | LOSE | Len: 1 | MEMORY_SIZE: 157SEED: 597
Episode 73/10000 | Total reward: 0.00 | Avg loss: 7.9510 | Loss std: 0.0000 | Max Q: 9.67 | Min Q: -0.08 | Mean Q: 4.37 | Epsilon: 0.694 | LOSE | Len: 1 | MEMORY_SIZE: 158SEED: 597
Episode 74/10000 | Total reward: 0.00 | Avg loss: 7.8975 | Loss std: 0.0000 | Max Q: 9.49 | Min Q: -0.10 | Mean Q: 4.32 | Epsilon: 0.690 | LOSE | Len: 1 | MEMORY_SIZE: 159SEED: 597
Episode 75/10000 | Total reward: -1.00 | Avg loss: 4.6559 | Loss std: 0.2321 | Max Q: 8.85 | Min Q: -0.10 | Mean Q: 4.18 | Epsilon: 0.687 | LOSE | Len: 2 | MEMORY_SIZE: 161SEED: 597
Episode 76/10000 | Total reward: 0.00 | Avg loss: 5.2479 | Loss std: 0.0000 | Max Q: 8.18 | Min Q: 0.00 | Mean Q: 3.99 | Epsilon: 0.683 | LOSE | Len: 1 | MEMORY_SIZE: 162SEED: 597
Episode 77/10000 | Total reward: 0.00 | Avg loss: 4.3300 | Loss std: 0.0000 | Max Q: 7.35 | Min Q: 0.06 | Mean Q: 3.79 | Epsilon: 0.680 | LOSE | Len: 1 | MEMORY_SIZE: 163SEED: 597
Episode 78/10000 | Total reward: 0.00 | Avg loss: 5.3186 | Loss std: 0.0000 | Max Q: 6.55 | Min Q: 0.10 | Mean Q: 3.75 | Epsilon: 0.676 | LOSE | Len: 1 | MEMORY_SIZE: 164SEED: 597
Episode 79/10000 | Total reward: 5.00 | Avg loss: 4.1042 | Loss std: 0.9067 | Max Q: 6.59 | Min Q: 0.07 | Mean Q: 3.99 | Epsilon: 0.673 | LOSE | Len: 6 | MEMORY_SIZE: 170SEED: 597
Episode 80/10000 | Total reward: 9.00 | Avg loss: 3.1001 | Loss std: 0.3862 | Max Q: 8.22 | Min Q: 0.06 | Mean Q: 5.02 | Epsilon: 0.670 | LOSE | Len: 2 | MEMORY_SIZE: 172SEED: 597
Episode 81/10000 | Total reward: -1.00 | Avg loss: 3.5388 | Loss std: 0.9391 | Max Q: 8.28 | Min Q: 0.05 | Mean Q: 5.49 | Epsilon: 0.666 | LOSE | Len: 2 | MEMORY_SIZE: 174SEED: 597
Episode 82/10000 | Total reward: 0.00 | Avg loss: 9.1610 | Loss std: 0.0000 | Max Q: 6.99 | Min Q: 0.02 | Mean Q: 4.78 | Epsilon: 0.663 | LOSE | Len: 1 | MEMORY_SIZE: 175SEED: 597
Episode 83/10000 | Total reward: 16.00 | Avg loss: 7.4979 | Loss std: 1.9507 | Max Q: 6.08 | Min Q: -0.12 | Mean Q: 2.85 | Epsilon: 0.660 | LOSE | Len: 5 | MEMORY_SIZE: 180SEED: 597
Episode 84/10000 | Total reward: 17.00 | Avg loss: 3.7734 | Loss std: 0.9041 | Max Q: 5.24 | Min Q: -0.28 | Mean Q: 1.97 | Epsilon: 0.656 | LOSE | Len: 4 | MEMORY_SIZE: 184SEED: 597
Episode 85/10000 | Total reward: 0.00 | Avg loss: 2.7559 | Loss std: 0.0000 | Max Q: 4.21 | Min Q: -0.20 | Mean Q: 1.98 | Epsilon: 0.653 | LOSE | Len: 1 | MEMORY_SIZE: 185SEED: 597
Episode 86/10000 | Total reward: -1.00 | Avg loss: 4.4062 | Loss std: 0.7336 | Max Q: 3.70 | Min Q: -0.19 | Mean Q: 1.84 | Epsilon: 0.650 | LOSE | Len: 2 | MEMORY_SIZE: 187SEED: 597
Episode 87/10000 | Total reward: 6.00 | Avg loss: 3.7174 | Loss std: 1.2309 | Max Q: 4.01 | Min Q: -0.51 | Mean Q: 1.59 | Epsilon: 0.647 | LOSE | Len: 5 | MEMORY_SIZE: 192SEED: 597
Episode 88/10000 | Total reward: 43.00 | Avg loss: 3.4168 | Loss std: 1.4569 | Max Q: 9.42 | Min Q: -1.51 | Mean Q: 1.89 | Epsilon: 0.643 | LOSE | Len: 8 | MEMORY_SIZE: 200SEED: 597
Episode 89/10000 | Total reward: -1.00 | Avg loss: 3.8087 | Loss std: 2.4008 | Max Q: 2.87 | Min Q: 0.05 | Mean Q: 1.48 | Epsilon: 0.640 | LOSE | Len: 2 | MEMORY_SIZE: 202SEED: 597
Episode 90/10000 | Total reward: 8.00 | Avg loss: 3.2118 | Loss std: 0.7854 | Max Q: 5.59 | Min Q: 0.04 | Mean Q: 2.29 | Epsilon: 0.637 | LOSE | Len: 3 | MEMORY_SIZE: 205SEED: 597
Episode 91/10000 | Total reward: 0.00 | Avg loss: 3.3008 | Loss std: 0.0000 | Max Q: 5.82 | Min Q: -0.03 | Mean Q: 2.61 | Epsilon: 0.634 | LOSE | Len: 1 | MEMORY_SIZE: 206SEED: 597
Episode 92/10000 | Total reward: 0.00 | Avg loss: 12.7091 | Loss std: 0.0000 | Max Q: 6.02 | Min Q: -0.09 | Mean Q: 2.65 | Epsilon: 0.631 | LOSE | Len: 1 | MEMORY_SIZE: 207SEED: 597
