Using MPS device for macOS
Using device: mps
Episode 58/3000 | Total reward: -1.00 | Avg loss: 8.5533 | Epsilon: 0.944 | LOSE | MEMORY_SIZE: 124 | SEED: 597
Episode 59/3000 | Total reward: 17.00 | Avg loss: 7.7488 | Epsilon: 0.943 | LOSE | MEMORY_SIZE: 128 | SEED: 597
Episode 60/3000 | Total reward: 0.00 | Avg loss: 6.1010 | Epsilon: 0.942 | LOSE | MEMORY_SIZE: 129 | SEED: 597
Episode 61/3000 | Total reward: 18.00 | Avg loss: 7.1262 | Epsilon: 0.941 | LOSE | MEMORY_SIZE: 132 | SEED: 597
Episode 62/3000 | Total reward: 0.00 | Avg loss: 5.7753 | Epsilon: 0.940 | LOSE | MEMORY_SIZE: 133 | SEED: 597
Episode 63/3000 | Total reward: 0.00 | Avg loss: 7.7437 | Epsilon: 0.939 | LOSE | MEMORY_SIZE: 134 | SEED: 597
Episode 64/3000 | Total reward: 17.00 | Avg loss: 5.4448 | Epsilon: 0.938 | LOSE | MEMORY_SIZE: 138 | SEED: 597
Episode 65/3000 | Total reward: 0.00 | Avg loss: 4.7963 | Epsilon: 0.937 | LOSE | MEMORY_SIZE: 139 | SEED: 597
Episode 66/3000 | Total reward: 9.00 | Avg loss: 5.2586 | Epsilon: 0.936 | LOSE | MEMORY_SIZE: 141 | SEED: 597
Episode 67/3000 | Total reward: 8.00 | Avg loss: 3.0161 | Epsilon: 0.935 | LOSE | MEMORY_SIZE: 144 | SEED: 597
Episode 68/3000 | Total reward: -1.00 | Avg loss: 4.4458 | Epsilon: 0.934 | LOSE | MEMORY_SIZE: 146 | SEED: 597
Episode 69/3000 | Total reward: 0.00 | Avg loss: 1.4211 | Epsilon: 0.933 | LOSE | MEMORY_SIZE: 147 | SEED: 597
Episode 70/3000 | Total reward: 0.00 | Avg loss: 3.0447 | Epsilon: 0.932 | LOSE | MEMORY_SIZE: 148 | SEED: 597
Episode 71/3000 | Total reward: 0.00 | Avg loss: 3.1523 | Epsilon: 0.931 | LOSE | MEMORY_SIZE: 149 | SEED: 597
Episode 72/3000 | Total reward: 0.00 | Avg loss: 4.2963 | Epsilon: 0.930 | LOSE | MEMORY_SIZE: 150 | SEED: 597
Episode 73/3000 | Total reward: -1.00 | Avg loss: 3.3550 | Epsilon: 0.930 | LOSE | MEMORY_SIZE: 152 | SEED: 597
Episode 74/3000 | Total reward: 0.00 | Avg loss: 3.6359 | Epsilon: 0.929 | LOSE | MEMORY_SIZE: 153 | SEED: 597
Episode 75/3000 | Total reward: 5.00 | Avg loss: 2.7360 | Epsilon: 0.928 | LOSE | MEMORY_SIZE: 159 | SEED: 597
Episode 76/3000 | Total reward: 0.00 | Avg loss: 2.0489 | Epsilon: 0.927 | LOSE | MEMORY_SIZE: 160 | SEED: 597
Episode 77/3000 | Total reward: 9.00 | Avg loss: 2.4315 | Epsilon: 0.926 | LOSE | MEMORY_SIZE: 162 | SEED: 597
Episode 78/3000 | Total reward: 0.00 | Avg loss: 2.7622 | Epsilon: 0.925 | LOSE | MEMORY_SIZE: 163 | SEED: 597
Episode 79/3000 | Total reward: -1.00 | Avg loss: 2.8631 | Epsilon: 0.924 | LOSE | MEMORY_SIZE: 165 | SEED: 597
