episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
110,0,5.672435760498047,0.0,0.0,0,1,1,7.943301,-0.86820173,2.7791855,0.992872
111,9.1,5.586215257644653,0.5831253528594971,0.0,0,1,2,7.9334483,-0.8640698,2.7555194,0.992806
112,16.4,4.909169101715088,1.0586451537653883,0.0,0,1,5,7.9236474,-0.8617933,2.7173164,0.99274
113,8.2,3.1184956232706704,0.832813524078737,0.0,0,1,3,7.8541274,-0.8514153,2.7371063,0.992674
114,8.2,5.5356621742248535,0.5537850138316941,0.0,0,1,3,7.8779182,-0.8713406,2.7508972,0.992608
115,7.299999999999999,4.697800397872925,1.3593793626334545,0.0,0,1,4,7.9159913,-0.91219044,2.7651138,0.992542
116,-0.9,4.331329584121704,0.7623069286346436,0.0,0,1,2,7.964399,-0.9316095,2.8194253,0.992476
117,-0.9,4.154564738273621,0.9900943040847778,0.0,0,1,2,7.9601507,-0.9373519,2.8299937,0.99241
118,0,2.464287519454956,0.0,0.0,0,1,1,7.956508,-0.9412313,2.8385055,0.992344
119,0,5.432685375213623,0.0,0.0,0,1,1,7.967449,-0.94557524,2.8498235,0.992278
120,-0.9,4.238694190979004,0.8380732536315918,0.0,0,1,2,7.975774,-0.94727474,2.8602123,0.992212
121,-0.9,3.673231601715088,0.41457605361938477,0.0,0,1,2,7.987295,-0.9398016,2.86375,0.992146
122,6.399999999999999,4.975229787826538,2.200705406696566,0.0,0,1,5,7.9989843,-0.93452966,2.8335278,0.99208
123,9.1,8.33755874633789,0.0746774673461914,0.0,0,1,2,7.982767,-0.90826917,2.8141003,0.992014
124,-0.9,5.596040725708008,0.4840049743652344,0.0,0,1,2,7.917219,-0.8891018,2.803157,0.991948
125,17.3,5.813952565193176,1.1686426292240022,0.0,0,1,4,7.8276134,-0.8688417,2.6848726,0.991882
126,9.1,7.668868541717529,1.927687168121338,0.0,0,1,2,7.5943146,-0.84433484,2.6261535,0.991816
127,0,6.928199291229248,0.0,0.0,0,1,1,7.4929905,-0.8353683,2.6291459,0.99175
128,0,3.493722677230835,0.0,0.0,0,1,1,7.4547005,-0.83563906,2.6132598,0.991684
129,17.3,5.696511507034302,1.9468749764377753,0.0,0,1,4,7.431708,-0.8350699,2.532108,0.991618
130,0,6.488934516906738,0.0,0.0,0,1,1,7.346782,-0.8468405,2.5715325,0.991552
131,9.1,4.456745147705078,0.15839385986328125,0.0,0,1,2,7.3448596,-0.85020185,2.5284667,0.991486
132,18.2,4.7570576667785645,0.26426838475314063,0.0,0,1,3,7.383225,-0.8612468,2.5341628,0.99142
133,0,6.693560600280762,0.0,0.0,0,1,1,7.5156455,-0.88708556,2.6032794,0.991354
134,0,3.6752326488494873,0.0,0.0,0,1,1,7.5640965,-0.8948984,2.621128,0.991288
135,8.2,6.440388838450114,2.1623641737192023,0.0,0,1,3,7.611356,-0.9119256,2.6216996,0.991222
136,8.2,4.291486581166585,1.278480568698293,0.0,0,1,3,7.8406515,-0.960514,2.6911814,0.991156
137,0,1.768923044204712,0.0,0.0,0,1,1,7.9524684,-0.9897612,2.7515647,0.99109
138,-0.9,6.94945764541626,0.46790170669555664,0.0,0,1,2,8.082088,-1.0148647,2.7900066,0.991024
139,0,2.254006862640381,0.0,0.0,0,1,1,8.1123905,-1.0225848,2.8157592,0.990958
140,8.2,5.267096360524495,0.7659130362103403,0.0,0,1,3,8.187919,-1.0270169,2.8203845,0.990892
141,0,5.7866740226745605,0.0,0.0,0,1,1,8.226296,-1.0150083,2.8675296,0.990826
142,25.5,3.65230655670166,2.0631586983387775,0.0,0,1,6,8.261758,-1.0033047,2.8436863,0.99076
143,0,4.924479961395264,0.0,0.0,0,1,1,8.341142,-0.95689774,2.9095654,0.990694
144,9.1,4.839380741119385,2.1009860038757324,0.0,0,1,2,8.373352,-0.9478143,2.8727405,0.990628
145,0,2.767465114593506,0.0,0.0,0,1,1,8.404186,-0.9272638,2.9240448,0.990562
146,-0.9,6.070610284805298,0.34892773628234863,0.0,0,1,2,8.442383,-0.91008496,2.9358375,0.990496
147,6.399999999999999,4.502510738372803,1.3865446111490334,0.0,0,1,5,8.432272,-0.8752046,2.8627071,0.99043
148,31.900000000000006,5.384592008590698,1.1279876778915174,0.0,0,1,10,8.294096,-0.8209242,2.7988586,0.990364
149,-0.9,3.4419827461242676,0.13468027114868164,0.0,0,1,2,7.8510513,-0.8536573,2.7931094,0.990298
150,9.1,5.333165407180786,2.2000205516815186,0.0,0,1,2,7.834499,-0.8610771,2.737935,0.990232
151,16.4,5.486590957641601,1.9610244786838311,0.0,0,1,5,7.798889,-0.9042539,2.7006257,0.990166
152,9.1,3.581668972969055,1.405612826347351,0.0,0,1,2,7.6885986,-0.9327209,2.6780453,0.9901
153,0,5.137361526489258,0.0,0.0,0,1,1,7.6450653,-0.96008974,2.729429,0.990034
154,2.799999999999998,5.558020485772027,1.104299131113781,0.0,0,1,9,7.631158,-0.99717873,2.6999197,0.989968
155,-0.9,9.045999526977539,1.551671028137207,0.0,0,1,2,7.602526,-0.9916437,2.7644992,0.989902
156,9.1,6.057194948196411,0.31647706031799316,0.0,0,1,2,7.538399,-0.97246146,2.7001007,0.989836
157,9.1,7.528693675994873,0.6509995460510254,0.0,0,1,2,7.463083,-0.9511922,2.663948,0.98977
158,8.2,5.722487608591716,0.2421869069152622,0.0,0,1,3,7.3327837,-0.920153,2.6237845,0.989704
159,0,6.493701934814453,0.0,0.0,0,1,1,7.1777844,-0.8713868,2.6187196,0.989638
160,0,7.297427177429199,0.0,0.0,0,1,1,7.144188,-0.860925,2.6080248,0.989572
161,24.6,7.124071870531354,1.6172725148413731,0.0,0,1,7,7.1070056,-0.85258305,2.5138688,0.989506
162,0,5.639253616333008,0.0,0.0,0,1,1,7.057547,-0.8600861,2.5671165,0.98944
163,17.299999999999997,7.169948577880859,1.5986341248552869,0.0,0,1,4,7.078268,-0.86628264,2.4922175,0.989374
164,9.1,4.775569438934326,1.6323809623718262,0.0,0,1,2,7.128763,-0.87096334,2.5495212,0.989308
165,-0.9,5.7662965059280396,2.651368021965027,0.0,0,1,2,7.2873554,-0.88099545,2.6303947,0.989242
166,0,9.738092422485352,0.0,0.0,0,1,1,7.3245225,-0.8872618,2.6594663,0.989176
167,4.599999999999999,5.9528935977390836,1.9466407691781802,0.0,0,1,7,7.3325605,-0.90291953,2.6303596,0.98911
168,-1.8,6.624101638793945,1.1664150935274733,0.0,0,1,3,7.3371615,-0.9281141,2.7141757,0.989044
169,12.799999999999997,5.613888581593831,1.8252118447842314,0.0,0,1,9,7.2873125,-0.96340394,2.5946429,0.988978
170,9.1,8.555235862731934,1.2261028289794922,0.0,0,1,2,7.3894253,-1.0062075,2.6644034,0.988912
