episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
77,9.0,4.915412425994873,0.7476668357849121,0.0,0,1,2,7.479026,-1.3669219,2.4445796,0.9267809647166116
78,0,5.830397605895996,0.0,0.0,0,1,1,7.6946645,-1.3424535,2.5638604,0.925854183751895
79,-1.0,5.131746053695679,0.7106854915618896,0.0,0,1,2,7.9598446,-1.3221648,2.6641302,0.9249283295681431
80,17.0,4.418415665626526,0.8357193127497701,0.0,0,1,4,8.29499,-1.2663463,2.8184137,0.9240034012385749
81,17.0,5.098715782165527,0.6860107799259764,0.0,0,1,4,8.442978,-1.132473,2.9355483,0.9230793978373364
82,0,2.7701597213745117,0.0,0.0,0,1,1,8.523087,-1.0028278,2.9876785,0.9221563184394991
83,-1.0,8.157281398773193,1.695265293121338,0.0,0,1,2,8.519129,-0.9759391,2.988507,0.9212341621210596
84,7.0,4.668645977973938,0.9520852228764163,0.0,0,1,4,8.397021,-0.92768484,2.9223776,0.9203129279589385
85,17.0,7.0994956493377686,0.8072124903051285,0.0,0,1,4,8.080451,-0.863402,2.8074338,0.9193926150309796
86,0,6.817209720611572,0.0,0.0,0,1,1,7.7764792,-0.8223148,2.7559164,0.9184732224159486
87,9.0,6.284527063369751,0.09263730049133301,0.0,0,1,2,7.701324,-0.8146342,2.6945434,0.9175547491935327
88,0,4.659115314483643,0.0,0.0,0,1,1,7.5400586,-0.8095343,2.661057,0.9166371944443392
89,0,8.671989440917969,0.0,0.0,0,1,1,7.469451,-0.80626833,2.6363869,0.9157205572498949
90,8.0,6.968430678049724,1.2632712816481124,0.0,0,1,3,7.397578,-0.8036327,2.5744088,0.914804836692645
91,0,6.582537651062012,0.0,0.0,0,1,1,7.2239633,-0.8088928,2.5532851,0.9138900318559524
92,27.0,6.350420951843262,1.1462364770906381,0.0,0,1,4,7.179376,-0.8151659,2.4813447,0.9129761418240965
93,0,4.213260173797607,0.0,0.0,0,1,1,7.0835943,-0.84388024,2.4773011,0.9120631656822724
94,0,6.758563041687012,0.0,0.0,0,1,1,7.084457,-0.85510373,2.4686303,0.9111511025165902
95,0,5.421292304992676,0.0,0.0,0,1,1,7.080065,-0.86851764,2.4586463,0.9102399514140735
